model,variant,horizon,rel_wis
MOCOS-agent1,delta intro,4,0.3689331192477792
MUNI-ARIMA,delta intro,4,2.647736769381733
MUNI_DMS-SEIAR,delta intro,4,1.3574934184184038
RobertWalraven-ESG,delta intro,4,1.6484765975918179
UB-BSLCoV,delta intro,4,1.5818405965793636
UMass-MechBayes,delta intro,4,0.9524310811942356
UMass-SemiMech,delta intro,4,1.3801078124748636
USC-SIkJalpha,delta intro,4,1.0916922300096945
bisop-seirfilter,delta intro,4,1.2603755360765085
bisop-seirfilterlite,delta intro,4,1.7897386295647453
epiforecasts-EpiExpert,delta intro,4,1.2117305513921077
epiforecasts-EpiExpert_Rt,delta intro,4,1.226807384828907
epiforecasts-EpiExpert_direct,delta intro,4,1.3274817025728682
epiforecasts-EpiNow2,delta intro,4,1.4602374289209143
itwm-dSEIR,delta intro,4,1.0441830154984781
EuroCOVIDhub-baseline,delta intro,3,2.2991275630495016
EuroCOVIDhub-ensemble,delta intro,3,1
FIAS_FZJ-Epi1Ger,delta intro,3,2.0641703870724903
HZI-AgeExtendedSEIR,delta intro,3,1.320329014441418
ICM-agentModel,delta intro,3,1.611242054792714
IEM_Health-CovidProject,delta intro,3,2.0772526905868953
ILM-EKF,delta intro,3,1.198844932727051
ITWW-county_repro,delta intro,3,1.206948674530331
Karlen-pypm,delta intro,3,1.3070688170812803
LANL-GrowthRate,delta intro,3,1.4589079471837942
LeipzigIMISE-SECIR,delta intro,3,1.9044326455555414
MIMUW-StochSEIR,delta intro,3,0.8477958045185103
MIT_CovidAnalytics-DELPHI,delta intro,3,1.358005981209457
MOCOS-agent1,delta intro,3,0.5750222123293693
MUNI-ARIMA,delta intro,3,2.8306069589410794
MUNI_DMS-SEIAR,delta intro,3,1.4563232677450708
RobertWalraven-ESG,delta intro,3,1.7811207997705414
UB-BSLCoV,delta intro,3,1.362480147138772
UMass-MechBayes,delta intro,3,1.1383434880989047
UMass-SemiMech,delta intro,3,1.3278188136579694
UNED-PreCoV2,delta intro,3,2.1999765397324516
USC-SIkJalpha,delta intro,3,1.1895620738619872
bisop-seirfilter,delta intro,3,1.3346102153388348
bisop-seirfilterlite,delta intro,3,2.065809295922338
epiforecasts-EpiExpert,delta intro,3,1.3870163486324987
epiforecasts-EpiExpert_Rt,delta intro,3,1.4217828899301432
epiforecasts-EpiExpert_direct,delta intro,3,1.637964484077135
epiforecasts-EpiNow2,delta intro,3,1.5173691107352116
itwm-dSEIR,delta intro,3,1.0165959729809337
EuroCOVIDhub-baseline,delta intro,2,2.1329490932898034
EuroCOVIDhub-ensemble,delta intro,2,1
FIAS_FZJ-Epi1Ger,delta intro,2,2.233092009493268
HZI-AgeExtendedSEIR,delta intro,2,0.6261575329390625
ICM-agentModel,delta intro,2,2.436340136200391
IEM_Health-CovidProject,delta intro,2,1.8548891658305318
ILM-EKF,delta intro,2,1.1557042883278055
ITWW-county_repro,delta intro,2,1.3296235700688421
Karlen-pypm,delta intro,2,1.2313802612906863
LANL-GrowthRate,delta intro,2,1.4967796218256832
LeipzigIMISE-SECIR,delta intro,2,1.599014253485205
MIMUW-StochSEIR,delta intro,2,0.8184295682976022
MIT_CovidAnalytics-DELPHI,delta intro,2,1.5306909892544265
MOCOS-agent1,delta intro,2,0.7485543776821707
MUNI-ARIMA,delta intro,2,2.044820313688309
MUNI_DMS-SEIAR,delta intro,2,1.5739283339475272
RobertWalraven-ESG,delta intro,2,1.694046930903795
UB-BSLCoV,delta intro,2,1.1881018895660154
UMass-MechBayes,delta intro,2,1.1566803637201772
UMass-SemiMech,delta intro,2,1.4422363665419087
UNED-PreCoV2,delta intro,2,2.7477649286981443
USC-SIkJalpha,delta intro,2,1.2822568231203892
bisop-seirfilter,delta intro,2,1.136732460018275
bisop-seirfilterlite,delta intro,2,2.6180264269947617
epiforecasts-EpiExpert,delta intro,2,1.3996112973236534
epiforecasts-EpiExpert_Rt,delta intro,2,1.4338708123398614
epiforecasts-EpiExpert_direct,delta intro,2,1.4379080687146117
epiforecasts-EpiNow2,delta intro,2,1.4008396003416501
itwm-dSEIR,delta intro,2,0.9394471907760309
EuroCOVIDhub-baseline,delta intro,1,1.6913578300858734
